agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-MAXQ,3,5,-2872.0,-1.9440993788819876,1912.0,483.0
R-MAXQ,3,6,-3139.0,-4.238095238095238,1975.0,63.0
R-MAXQ,3,7,-3136.0,0.3333333333333333,1984.0,9.0
R-MAXQ,3,8,-3966.0,-2.16710182767624,2367.0,383.0
R-MAXQ,3,9,-3949.0,4.25,2371.0,4.0
R-MAXQ,3,10,-3994.0,-3.75,2383.0,12.0
R-MAXQ,3,11,-4131.0,-4.28125,2415.0,32.0
R-MAXQ,3,12,-4114.0,4.25,2419.0,4.0
R-MAXQ,3,13,-4097.0,4.25,2423.0,4.0
R-MAXQ,3,14,-4082.0,2.5,2429.0,6.0
R-MAXQ,3,15,-4065.0,4.25,2433.0,4.0
R-MAXQ,3,16,-4048.0,4.25,2437.0,4.0
R-MAXQ,3,17,-4031.0,4.25,2441.0,4.0
R-MAXQ,3,18,-4015.0,3.2,2446.0,5.0
R-MAXQ,3,19,-4177.0,-3.375,2494.0,48.0
R-MAXQ,3,20,-4160.0,4.25,2498.0,4.0
R-MAXQ,3,21,-4144.0,3.2,2503.0,5.0
R-MAXQ,3,22,-4127.0,4.25,2507.0,4.0
R-MAXQ,3,23,-4110.0,4.25,2511.0,4.0
R-MAXQ,3,24,-4093.0,4.25,2515.0,4.0
R-MAXQ,3,25,-4076.0,4.25,2519.0,4.0
R-MAXQ,3,26,-4060.0,3.2,2524.0,5.0
R-MAXQ,3,27,-4045.0,2.5,2530.0,6.0
R-MAXQ,3,28,-4028.0,4.25,2534.0,4.0
R-MAXQ,3,29,-4012.0,3.2,2539.0,5.0
R-MAXQ,4,0,-707.0,-1.414,500.0,500.0
R-MAXQ,4,1,-891.0,-4.27906976744186,543.0,43.0
R-MAXQ,4,2,-1569.0,-1.808,918.0,375.0
R-MAXQ,4,3,-1711.0,-1.1181102362204725,1045.0,127.0
R-MAXQ,4,4,-1740.0,-2.0714285714285716,1059.0,14.0
R-MAXQ,4,5,-1800.0,-0.7407407407407407,1140.0,81.0
R-MAXQ,4,6,-2616.0,-2.0148148148148146,1545.0,405.0
R-MAXQ,4,7,-3395.0,-1.558,2045.0,500.0
R-MAXQ,4,8,-3380.0,2.5,2051.0,6.0
R-MAXQ,4,9,-3640.0,-1.897810218978102,2188.0,137.0
R-MAXQ,4,10,-3626.0,2.0,2195.0,7.0
R-MAXQ,4,11,-3610.0,3.2,2200.0,5.0
R-MAXQ,4,12,-3593.0,4.25,2204.0,4.0
R-MAXQ,4,13,-3576.0,4.25,2208.0,4.0
R-MAXQ,4,14,-3562.0,2.0,2215.0,7.0
R-MAXQ,4,15,-3547.0,2.5,2221.0,6.0
R-MAXQ,4,16,-3533.0,2.0,2228.0,7.0
R-MAXQ,4,17,-3587.0,-2.5714285714285716,2249.0,21.0
R-MAXQ,4,18,-3572.0,2.5,2255.0,6.0
R-MAXQ,4,19,-3555.0,4.25,2259.0,4.0
R-MAXQ,4,20,-3538.0,4.25,2263.0,4.0
R-MAXQ,4,21,-3521.0,4.25,2267.0,4.0
R-MAXQ,4,22,-3504.0,4.25,2271.0,4.0
R-MAXQ,4,23,-3771.0,-1.4833333333333334,2451.0,180.0
R-MAXQ,4,24,-3754.0,4.25,2455.0,4.0
R-MAXQ,4,25,-3738.0,3.2,2460.0,5.0
R-MAXQ,4,26,-3721.0,4.25,2464.0,4.0
R-MAXQ,4,27,-3832.0,-1.15625,2560.0,96.0
R-MAXQ,4,28,-3815.0,4.25,2564.0,4.0
R-MAXQ,4,29,-3798.0,4.25,2568.0,4.0
R-MAXQ,5,0,-426.0,-1.1932773109243697,357.0,357.0
R-MAXQ,5,1,-561.0,-1.8,432.0,75.0
R-MAXQ,5,2,-1146.0,-1.6956521739130435,777.0,345.0
R-MAXQ,5,3,-1134.0,1.3333333333333333,786.0,9.0
R-MAXQ,5,4,-1127.0,1.4,791.0,5.0
R-MAXQ,5,5,-1390.0,-1.5748502994011977,958.0,167.0
R-MAXQ,5,6,-1383.0,1.4,963.0,5.0
R-MAXQ,5,7,-1366.0,4.25,967.0,4.0
R-MAXQ,5,8,-2172.0,-1.612,1467.0,500.0
R-MAXQ,5,9,-2157.0,2.5,1473.0,6.0
R-MAXQ,5,10,-2194.0,-2.8461538461538463,1486.0,13.0
R-MAXQ,5,11,-2939.0,-2.5,1784.0,298.0
R-MAXQ,5,12,-2922.0,4.25,1788.0,4.0
R-MAXQ,5,13,-2907.0,2.5,1794.0,6.0
R-MAXQ,5,14,-2890.0,4.25,1798.0,4.0
R-MAXQ,5,15,-3309.0,-1.7314049586776858,2040.0,242.0
R-MAXQ,5,16,-3292.0,4.25,2044.0,4.0
R-MAXQ,5,17,-3275.0,4.25,2048.0,4.0
R-MAXQ,5,18,-3258.0,4.25,2052.0,4.0
R-MAXQ,5,19,-3241.0,4.25,2056.0,4.0
R-MAXQ,5,20,-3225.0,3.2,2061.0,5.0
R-MAXQ,5,21,-3209.0,3.2,2066.0,5.0
R-MAXQ,5,22,-3192.0,4.25,2070.0,4.0
R-MAXQ,5,23,-3176.0,3.2,2075.0,5.0
R-MAXQ,5,24,-3159.0,4.25,2079.0,4.0
R-MAXQ,5,25,-3533.0,-1.9893617021276595,2267.0,188.0
R-MAXQ,5,26,-3516.0,4.25,2271.0,4.0
R-MAXQ,5,27,-3500.0,3.2,2276.0,5.0
R-MAXQ,5,28,-3485.0,2.5,2282.0,6.0
R-MAXQ,5,29,-3555.0,-2.5,2310.0,28.0
R-MAXQ,6,0,-546.0,-1.318840579710145,414.0,414.0
R-MAXQ,6,1,-1256.0,-1.7444717444717446,821.0,407.0
R-MAXQ,6,2,-2145.0,-2.2912371134020617,1209.0,388.0
R-MAXQ,6,3,-3035.0,-1.7907444668008048,1706.0,497.0
R-MAXQ,6,4,-3235.0,-2.1052631578947367,1801.0,95.0
R-MAXQ,6,5,-3287.0,-1.4054054054054055,1838.0,37.0
R-MAXQ,6,6,-3273.0,2.0,1845.0,7.0
R-MAXQ,6,7,-3280.0,-0.7,1855.0,10.0
R-MAXQ,6,8,-4140.0,-1.72,2355.0,500.0
R-MAXQ,6,9,-4123.0,4.25,2359.0,4.0
R-MAXQ,6,10,-4511.0,-2.010362694300518,2552.0,193.0
R-MAXQ,6,11,-4494.0,4.25,2556.0,4.0
R-MAXQ,6,12,-4479.0,2.5,2562.0,6.0
R-MAXQ,6,13,-4463.0,3.2,2567.0,5.0
R-MAXQ,6,14,-4446.0,4.25,2571.0,4.0
R-MAXQ,6,15,-4429.0,4.25,2575.0,4.0
R-MAXQ,6,16,-4412.0,4.25,2579.0,4.0
R-MAXQ,6,17,-4395.0,4.25,2583.0,4.0
R-MAXQ,6,18,-4380.0,2.5,2589.0,6.0
R-MAXQ,6,19,-4363.0,4.25,2593.0,4.0
R-MAXQ,6,20,-4347.0,3.2,2598.0,5.0
R-MAXQ,6,21,-4853.0,-1.7816901408450705,2882.0,284.0
R-MAXQ,6,22,-4836.0,4.25,2886.0,4.0
R-MAXQ,6,23,-4820.0,3.2,2891.0,5.0
R-MAXQ,6,24,-5222.0,-1.9420289855072463,3098.0,207.0
R-MAXQ,6,25,-5269.0,-3.357142857142857,3112.0,14.0
R-MAXQ,6,26,-5252.0,4.25,3116.0,4.0
R-MAXQ,6,27,-5238.0,2.0,3123.0,7.0
R-MAXQ,6,28,-5221.0,4.25,3127.0,4.0
R-MAXQ,6,29,-5204.0,4.25,3131.0,4.0
R-MAXQ,7,0,-698.0,-1.396,500.0,500.0
